configure: size variance = 0.800000,1.200000
configure: width variance = 0.800000,1.600000
configure: angle variance = 0.000000,360.000000
tree: Dream Palm 1_LOD2.bin; pos=4995.32, 5.18, -4258.35; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=-2689.590, -0.000, 8849.640; angle = 1; size = 0.560
tree: Dream Palm 2_LOD2.bin; pos=-2691.040, -0.000, 8840.480; angle = 0; size = 0.540
tree: Dream Palm 3_LOD2.bin; pos=-2690.340, -0.000, 8844.970; angle = 13; size = 0.570
tree: Dream Palm 3_LOD2.bin; pos=-2683.260, -0.000, 8888.200; angle = 0; size = 0.460
tree: Dream Palm 2_LOD2.bin; pos=-2681.310, -0.000, 8898.220; angle = 37; size = 0.470
tree: Dream Palm 3_LOD2.bin; pos=-2707.880, -0.000, 8836.660; angle = 6; size = 0.440
tree: Dream Palm 3_LOD2.bin; pos=-2706.970, -0.000, 8841.760; angle = 3; size = 0.440
tree: Dream Palm 1_LOD2.bin; pos=-2706.270, -0.000, 8846.250; angle = 23; size = 0.500
tree: Dream Palm 1_LOD2.bin; pos=-2700.800, -0.000, 8879.890; angle = 9; size = 0.470
tree: Dream Palm 3_LOD2.bin; pos=-2702.250, -0.000, 8870.730; angle = 20; size = 0.610
tree: Dream Palm 1_LOD2.bin; pos=-2701.550, -0.000, 8875.220; angle = 0; size = 0.550
tree: Dream Palm 1_LOD2.bin; pos=-2698.900, -0.000, 8889.720; angle = 43; size = 0.460
tree: Dream Palm 2_LOD2.bin; pos=-2705.520, -0.000, 8850.920; angle = 15; size = 0.470
tree: Dream Palm 1_LOD2.bin; pos=-2763.540, -0.000, 8861.650; angle = 20; size = 0.410
tree: Dream Palm 2_LOD2.bin; pos=-2760.430, -0.000, 8864.310; angle = 7; size = 0.440
tree: Dream Palm 2_LOD2.bin; pos=-2742.510, -0.000, 8907.870; angle = 0; size = 0.500
tree: Dream Palm 2_LOD2.bin; pos=-2738.140, -0.000, 8910.680; angle = 0; size = 0.700
tree: Dream Palm 2_LOD2.bin; pos=-2728.850, -0.000, 8916.920; angle = 0; size = 0.680
tree: Dream Palm 2_LOD2.bin; pos=-2755.970, -0.000, 8899.060; angle = 21; size = 0.710
tree: Dream Palm 2_LOD2.bin; pos=-2751.440, -0.000, 8902.010; angle = 0; size = 0.660
tree: Dream Palm 1_LOD2.bin; pos=-2773.270, -0.000, 8887.480; angle = 0; size = 0.630
tree: Dream Palm 1_LOD2.bin; pos=-2800.400, -0.000, 8869.630; angle = 40; size = 0.500
tree: Dream Palm 1_LOD2.bin; pos=-2804.910, -0.000, 8866.660; angle = 3; size = 0.530
tree: Dream Palm 3_LOD2.bin; pos=-2795.860, -0.000, 8872.580; angle = 21; size = 0.620
tree: Dream Palm 2_LOD2.bin; pos=-2791.500, -0.000, 8875.360; angle = 6; size = 0.620
tree: Dream Palm 2_LOD2.bin; pos=-2804.750, -0.000, 8833.500; angle = 0; size = 0.470
tree: Dream Palm 2_LOD2.bin; pos=-2340.210, -0.000, 8815.340; angle = 0; size = 0.830
tree: Dream Palm 1_LOD2.bin; pos=-2367.380, -0.000, 8824.950; angle = 12; size = 1.100
tree: Dream Palm 1_LOD2.bin; pos=-2352.630, -0.000, 8819.160; angle = 13; size = 0.810
tree: Dream Palm 2_LOD2.bin; pos=-2362.230, -0.000, 8904.150; angle = 30; size = 1.080
tree: Dream Palm 3_LOD2.bin; pos=-2359.280, -0.000, 8914.220; angle = 0; size = 0.950
tree: Dream Palm 3_LOD2.bin; pos=-2396.480, -0.000, 8835.940; angle = 1; size = 0.950
tree: Dream Palm 2_LOD2.bin; pos=-1876.840, 0.000, 8411.230; angle = 0; size = 0.800
tree: Dream Palm 3_LOD2.bin; pos=-1850.510, 0.040, 8384.500; angle = 14; size = 0.990
tree: Dream Palm 3_LOD2.bin; pos=5376.295, 12.721, -4451.106; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=5386.252, 12.689, -4455.012; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=5397.393, 12.653, -4459.719; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=5411.432, 12.607, -4465.230; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=5419.370, 12.582, -4468.268; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=5319.772, 12.903, -4427.749; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=5328.917, 12.875, -4431.594; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5337.621, 12.846, -4435.302; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=5342.952, 12.829, -4437.356; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5306.186, 12.906, -4421.806; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5290.099, 12.833, -4415.981; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=5273.235, 12.659, -4407.383; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=5252.128, 12.313, -4398.412; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=5240.259, 12.048, -4392.619; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5224.701, 11.636, -4385.277; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=5202.615, 11.026, -4374.922; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=5190.313, 10.682, -4368.747; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=5178.128, 10.341, -4362.629; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=5167.452, 10.045, -4357.438; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=5156.515, 9.740, -4352.032; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5142.506, 9.334, -4343.781; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5132.126, 9.042, -4338.473; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5090.997, 7.873, -4316.146; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5105.201, 8.276, -4323.783; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5112.315, 8.481, -4327.895; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=5121.310, 8.738, -4332.889; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=4935.823, 4.202, -4195.833; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=4925.564, 4.172, -4187.905; angle = 0; size = 1.000
tree: Dream Palm 1_LOD2.bin; pos=4913.858, 4.153, -4180.428; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=4906.562, 4.134, -4174.997; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=4898.219, 4.117, -4169.286; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=4888.676, 4.099, -4162.853; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=4877.501, 4.073, -4155.025; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=4866.654, 4.049, -4147.288; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=4857.651, 4.026, -4140.847; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=1677.140, 5.930, 2760.240; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=1533.940, 6.320, 2182.740; angle = 0; size = 1.000
tree: Dream Palm 2_LOD2.bin; pos=1530.210, 7.520, 2181.230; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=1543.020, 7.670, 2181.290; angle = 0; size = 1.000
tree: Dream Palm 3_LOD2.bin; pos=1517.650, 7.670, 2181.000; angle = 0; size = 1.000
tree: Dream Tree 1_LOD2.bin; pos=1552.280, 7.570, 2165.000; angle = 0; size = 1.000
tree: Dream Tree 1_LOD2.bin; pos=1527.420, 7.540, 2164.720; angle = 0; size = 1.000
tree: Dream Tree 1_LOD2.bin; pos=1540.230, 7.670, 2164.820; angle = 0; size = 1.000
tree: Dream Tree 1_LOD2.bin; pos=1514.870, 7.670, 2164.450; angle = 0; size = 1.000
tree: Dream Tree 1_LOD2.bin; pos=1581.420, 5.680, 2733.770; angle = 0; size = 1.000
tree: Dream Tree 1_LOD2.bin; pos=1645.230, 5.930, 2733.770; angle = 28; size = 0.790
tree: Dream Tree 1_LOD2.bin; pos=1629.280, 5.680, 2733.760; angle = 37; size = 0.820
tree: Dream Tree 1_LOD2.bin; pos=1597.370, 5.430, 2733.770; angle = 0; size = 1.170
tree: Dream Tree 1_LOD2.bin; pos=1613.320, 5.930, 2733.770; angle = 6; size = 0.750
tree: Dream Tree 1_LOD2.bin; pos=1661.180, 5.680, 2733.760; angle = 0; size = 0.710
tree: Dream Tree 1_LOD2.bin; pos=1709.040, 5.430, 2733.770; angle = 39; size = 1.290
tree: Dream Tree 1_LOD2.bin; pos=1693.090, 5.430, 2733.770; angle = 0; size = 1.280
tree: Dream Tree 1_LOD2.bin; pos=1677.140, 5.680, 2733.760; angle = 0; size = 0.900
tree: Dream Tree 1_LOD2.bin; pos=1724.990, 5.930, 2733.770; angle = 0; size = 1.200
tree: Dream Tree 1_LOD2.bin; pos=1645.230, 5.680, 2760.240; angle = 0; size = 0.960
tree: Dream Tree 1_LOD2.bin; pos=1629.280, 5.430, 2760.240; angle = 0; size = 1.130
tree: Dream Tree 1_LOD2.bin; pos=1597.370, 5.680, 2760.240; angle = 13; size = 1.300
tree: Dream Tree 1_LOD2.bin; pos=1613.330, 5.930, 2760.240; angle = 0; size = 1.060
tree: Dream Tree 1_LOD2.bin; pos=1709.040, 5.680, 2760.240; angle = 2; size = 1.010
tree: Dream Tree 1_LOD2.bin; pos=1693.090, 3.130, 2760.240; angle = 33; size = 0.810
tree: Dream Tree 1_LOD2.bin; pos=1661.180, 5.430, 2760.240; angle = 16; size = 1.110
tree: Dream Tree 1_LOD2.bin; pos=1724.990, 5.680, 2760.240; angle = 0; size = 0.820
tree: Dream Tree 1_LOD2.bin; pos=1772.850, 5.930, 2733.770; angle = 0; size = 1.280
tree: Dream Tree 1_LOD2.bin; pos=1756.900, 5.680, 2733.760; angle = 18; size = 0.910
tree: Dream Tree 1_LOD2.bin; pos=1740.950, 5.680, 2733.760; angle = 0; size = 1.210
tree: Dream Tree 1_LOD2.bin; pos=1836.660, 5.930, 2733.770; angle = 43; size = 1.130
tree: Dream Tree 1_LOD2.bin; pos=1820.710, 5.680, 2733.760; angle = 2; size = 1.260
tree: Dream Tree 1_LOD2.bin; pos=1788.800, 5.680, 2733.770; angle = 42; size = 1.090
tree: Dream Tree 1_LOD2.bin; pos=1804.760, 5.430, 2733.770; angle = 11; size = 1.070
tree: Dream Tree 1_LOD2.bin; pos=1900.470, 5.680, 2733.770; angle = 0; size = 0.990
tree: Dream Tree 1_LOD2.bin; pos=1884.520, 5.680, 2733.770; angle = 0; size = 0.830
tree: Dream Tree 1_LOD2.bin; pos=1852.610, 5.680, 2733.770; angle = 15; size = 1.230
tree: Dream Tree 1_LOD2.bin; pos=1868.560, 5.930, 2733.770; angle = 0; size = 0.970
tree: Dream Tree 1_LOD2.bin; pos=1916.420, 5.930, 2733.770; angle = 0; size = 0.750
tree: Dream Tree 1_LOD2.bin; pos=1772.850, 5.430, 2760.240; angle = 0; size = 0.720
tree: Dream Tree 1_LOD2.bin; pos=1756.900, 5.930, 2760.240; angle = 7; size = 0.870
tree: Dream Tree 1_LOD2.bin; pos=1740.950, 5.930, 2760.240; angle = 0; size = 0.790
tree: Dream Tree 1_LOD2.bin; pos=1836.660, 5.680, 2760.240; angle = 0; size = 0.960
tree: Dream Tree 1_LOD2.bin; pos=1820.710, 5.430, 2760.240; angle = 3; size = 0.940
tree: Dream Tree 1_LOD2.bin; pos=1788.800, 5.680, 2760.240; angle = 14; size = 1.300
tree: Dream Tree 1_LOD2.bin; pos=1804.760, 5.930, 2760.240; angle = 0; size = 0.810
tree: Dream Tree 1_LOD2.bin; pos=1900.470, 5.680, 2760.240; angle = 0; size = 1.000
tree: Dream Tree 1_LOD2.bin; pos=1884.520, 5.430, 2760.240; angle = 0; size = 1.270
tree: Dream Tree 1_LOD2.bin; pos=1852.610, 5.930, 2760.240; angle = 0; size = 1.070
tree: Dream Tree 1_LOD2.bin; pos=1868.570, 5.430, 2760.240; angle = 0; size = 0.890
tree: Dream Tree 1_LOD2.bin; pos=1916.420, 5.680, 2760.240; angle = 16; size = 0.810
tree: Dream Tree 1_LOD2.bin; pos=1176.360, 8.030, 2185.230; angle = 26; size = 1.250
tree: Dream Tree 1_LOD2.bin; pos=1175.580, 3.720, 2191.660; angle = 0; size = 1.240
tree: Dream Tree 1_LOD2.bin; pos=1177.240, 3.060, 2201.380; angle = 0; size = 0.960
tree: Dream Tree 1_LOD2.bin; pos=1178.860, 3.470, 2207.360; angle = 0; size = 0.890
tree: Dream Tree 1_LOD2.bin; pos=1180.480, 3.800, 2213.600; angle = 0; size = 1.090
tree: Dream Tree 1_LOD2.bin; pos=1182.100, 3.390, 2219.580; angle = 15; size = 0.740
tree: Dream Tree 1_LOD2.bin; pos=1183.970, 3.530, 2225.820; angle = 0; size = 1.090
tree: Dream Tree 1_LOD2.bin; pos=1185.590, 3.890, 2231.810; angle = 41; size = 0.920
tree: Dream Tree 1_LOD2.bin; pos=1187.210, 3.280, 2238.040; angle = 27; size = 1.110
tree: Dream Tree 1_LOD2.bin; pos=1188.830, 3.130, 2244.030; angle = 0; size = 1.260
tree: Dream Tree 1_LOD2.bin; pos=1191.450, 3.650, 2254.000; angle = 0; size = 1.080
tree: Dream Tree 1_LOD2.bin; pos=1194.690, 3.700, 2266.220; angle = 0; size = 1.020
tree: Dream Tree 1_LOD2.bin; pos=1198.190, 3.330, 2278.450; angle = 0; size = 0.840
tree: Dream Tree 1_LOD2.bin; pos=1201.430, 3.630, 2290.670; angle = 0; size = 1.180
tree: Dream Tree 1_LOD2.bin; pos=1217.540, 7.740, 2179.870; angle = 4; size = 1.210
tree: Dream Tree 1_LOD2.bin; pos=1192.680, 7.520, 2180.110; angle = 43; size = 1.230
tree: Dream Tree 1_LOD2.bin; pos=1205.490, 7.670, 2179.940; angle = 0; size = 1.130
tree: Dream Tree 1_LOD2.bin; pos=1209.840, 6.400, 2179.880; angle = 2; size = 1.050
tree: Dream Tree 1_LOD2.bin; pos=1201.330, 6.400, 2179.970; angle = 0; size = 0.880
tree: Dream Tree 1_LOD2.bin; pos=1185.050, 6.400, 2180.010; angle = 15; size = 1.300
tree: Dream Tree 1_LOD2.bin; pos=1266.590, 7.740, 2179.660; angle = 22; size = 1.130
tree: Dream Tree 1_LOD2.bin; pos=1241.740, 7.520, 2179.900; angle = 0; size = 0.870
tree: Dream Tree 1_LOD2.bin; pos=1254.550, 7.670, 2179.730; angle = 0; size = 1.170
tree: Dream Tree 1_LOD2.bin; pos=1229.180, 7.670, 2179.900; angle = 0; size = 1.270
tree: Dream Tree 1_LOD2.bin; pos=1250.380, 6.400, 2179.760; angle = 7; size = 1.010
tree: Dream Tree 1_LOD2.bin; pos=1225.010, 6.400, 2179.960; angle = 34; size = 0.820
tree: Dream Tree 1_LOD2.bin; pos=1263.500, 7.570, 2163.270; angle = 2; size = 1.190
tree: Dream Tree 1_LOD2.bin; pos=1247.300, 6.400, 2163.320; angle = 0; size = 1.230
tree: Dream Tree 1_LOD2.bin; pos=1263.740, 6.220, 2171.360; angle = 0; size = 0.850
tree: Dream Tree 1_LOD2.bin; pos=1251.540, 6.220, 2171.440; angle = 0; size = 1.040
tree: Dream Tree 1_LOD2.bin; pos=1243.620, 6.220, 2171.520; angle = 3; size = 1.140
tree: Dream Tree 1_LOD2.bin; pos=1235.360, 6.220, 2171.650; angle = 21; size = 0.900
tree: Dream Tree 1_LOD2.bin; pos=1224.740, 6.220, 2171.440; angle = 0; size = 0.900
tree: Dream Tree 1_LOD2.bin; pos=1315.210, 7.740, 2179.660; angle = 0; size = 0.920
tree: Dream Tree 1_LOD2.bin; pos=1290.350, 6.290, 2179.900; angle = 0; size = 1.060
tree: Dream Tree 1_LOD2.bin; pos=1303.160, 7.310, 2179.730; angle = 17; size = 1.170
tree: Dream Tree 1_LOD2.bin; pos=1277.800, 7.670, 2179.900; angle = 0; size = 0.800
tree: Dream Tree 1_LOD2.bin; pos=1299.000, 6.040, 2179.760; angle = 25; size = 1.070
tree: Dream Tree 1_LOD2.bin; pos=1273.630, 6.400, 2179.960; angle = 11; size = 1.290
tree: Dream Tree 1_LOD2.bin; pos=1312.120, 7.570, 2163.270; angle = 35; size = 1.170
tree: Dream Tree 1_LOD2.bin; pos=1287.270, 6.300, 2163.440; angle = 0; size = 1.140
tree: Dream Tree 1_LOD2.bin; pos=1300.080, 6.430, 2163.310; angle = 0; size = 1.300
tree: Dream Tree 1_LOD2.bin; pos=1274.710, 7.670, 2163.410; angle = 28; size = 1.150
tree: Dream Tree 1_LOD2.bin; pos=1295.920, 5.160, 2163.320; angle = 0; size = 0.740
tree: Dream Tree 1_LOD2.bin; pos=1270.540, 6.400, 2163.450; angle = 6; size = 1.140
tree: Dream Tree 1_LOD2.bin; pos=1312.360, 6.220, 2171.360; angle = 0; size = 0.890
tree: Dream Tree 1_LOD2.bin; pos=1300.150, 4.990, 2171.440; angle = 43; size = 0.720
tree: Dream Tree 1_LOD2.bin; pos=1292.240, 4.990, 2171.520; angle = 16; size = 1.090
tree: Dream Tree 1_LOD2.bin; pos=1283.980, 6.220, 2171.640; angle = 40; size = 1.080
tree: Dream Tree 1_LOD2.bin; pos=1273.360, 6.220, 2171.440; angle = 0; size = 1.220
tree: Dream Tree 1_LOD2.bin; pos=1339.340, 7.520, 2179.620; angle = 0; size = 0.970
tree: Dream Tree 1_LOD2.bin; pos=1352.150, 7.670, 2179.440; angle = 0; size = 0.820
tree: Dream Tree 1_LOD2.bin; pos=1326.780, 7.670, 2179.610; angle = 40; size = 0.980
tree: Dream Tree 1_LOD2.bin; pos=1336.250, 7.540, 2163.160; angle = 0; size = 0.900
tree: Dream Tree 1_LOD2.bin; pos=1349.060, 7.670, 2163.020; angle = 27; size = 1.160
tree: Dream Tree 1_LOD2.bin; pos=1323.690, 7.670, 2163.120; angle = 20; size = 1.150
tree: Dream Tree 1_LOD2.bin; pos=1180.130, 7.670, 2180.110; angle = 0; size = 0.990
tree: Dream Tree 1_LOD2.bin; pos=1175.940, 6.400, 2180.190; angle = 39; size = 1.150
tree: Dream Tree 1_LOD2.bin; pos=1210.820, 6.220, 2171.570; angle = 0; size = 0.870
tree: Dream Tree 1_LOD2.bin; pos=1251.840, 7.670, 2162.820; angle = 0; size = 1.190
tree: Dream Tree 1_LOD2.bin; pos=1214.450, 6.410, 2163.480; angle = 21; size = 0.920
tree: Dream Tree 1_LOD2.bin; pos=1189.600, 7.540, 2163.650; angle = 0; size = 0.880
tree: Dream Tree 1_LOD2.bin; pos=1202.410, 6.350, 2163.520; angle = 0; size = 0.950
tree: Dream Tree 1_LOD2.bin; pos=1177.040, 7.670, 2163.620; angle = 0; size = 1.020
tree: Dream Tree 1_LOD2.bin; pos=1206.750, 6.400, 2163.470; angle = 32; size = 1.230
tree: Dream Tree 1_LOD2.bin; pos=1198.250, 6.400, 2163.530; angle = 0; size = 1.110
tree: Dream Tree 1_LOD2.bin; pos=1181.960, 6.400, 2163.530; angle = 0; size = 1.030
tree: Dream Tree 1_LOD2.bin; pos=1172.870, 6.400, 2163.660; angle = 32; size = 1.140
tree: Dream Tree 1_LOD2.bin; pos=1202.480, 6.220, 2171.650; angle = 37; size = 0.920
tree: Dream Tree 1_LOD2.bin; pos=1194.570, 6.220, 2171.730; angle = 0; size = 1.160
tree: Dream Tree 1_LOD2.bin; pos=1186.310, 6.220, 2171.860; angle = 0; size = 0.960
tree: Dream Tree 1_LOD2.bin; pos=1179.630, 6.220, 2171.710; angle = 29; size = 0.990
tree: Dream Tree 1_LOD2.bin; pos=1171.380, 6.220, 2171.840; angle = 0; size = 1.040
tree: Dream Tree 1_LOD2.bin; pos=1238.650, 7.540, 2163.440; angle = 0; size = 0.900
tree: Dream Tree 1_LOD2.bin; pos=1226.090, 7.670, 2163.410; angle = 0; size = 0.950
tree: Dream Tree 1_LOD2.bin; pos=1221.920, 6.400, 2163.450; angle = 0; size = 1.050
tree: Dream Tree 1_LOD2.bin; pos=1075.310, 4.090, 2275.970; angle = 0; size = 0.950
tree: Dream Tree 1_LOD2.bin; pos=1077.180, 2.160, 2271.230; angle = 11; size = 0.850
tree: Dream Tree 1_LOD2.bin; pos=1071.770, 4.090, 2279.420; angle = 0; size = 0.890
tree: Dream Tree 1_LOD2.bin; pos=1018.420, 2.160, 2280.250; angle = 0; size = 1.250
tree: Dream Tree 1_LOD2.bin; pos=1086.160, 2.080, 2284.060; angle = 0; size = 0.980
tree: Dream Tree 1_LOD2.bin; pos=1061.350, 2.080, 2288.160; angle = 41; size = 0.790
tree: Dream Tree 1_LOD2.bin; pos=972.500, 2.390, 2253.550; angle = 37; size = 0.710
tree: Dream Tree 1_LOD2.bin; pos=1364.190, 7.740, 2179.370; angle = 41; size = 0.700
tree: Dream Tree 1_LOD2.bin; pos=1361.340, 6.220, 2171.080; angle = 1; size = 0.880
tree: Dream Tree 1_LOD2.bin; pos=992.120, 2.390, 2179.120; angle = 0; size = 0.820
tree: Dream Tree 1_LOD2.bin; pos=992.120, 6.360, 2173.260; angle = 0; size = 1.010
tree: Dream Tree 1_LOD2.bin; pos=977.840, 2.390, 2193.640; angle = 0; size = 0.800
tree: Dream Tree 1_LOD2.bin; pos=977.840, 2.390, 2187.770; angle = 0; size = 1.220
tree: Dream Tree 1_LOD2.bin; pos=979.470, 2.390, 2201.580; angle = 0; size = 1.000
tree: Dream Tree 1_LOD2.bin; pos=1037.630, 7.410, 2111.860; angle = 0; size = 0.980
tree: Dream Tree 1_LOD2.bin; pos=1036.970, 7.730, 2106.460; angle = 40; size = 0.970
tree: Dream Tree 1_LOD2.bin; pos=1035.270, 7.560, 2101.260; angle = 29; size = 1.220
tree: Dream Tree 1_LOD2.bin; pos=1033.950, 7.730, 2096.130; angle = 38; size = 0.960
tree: Dream Tree 1_LOD2.bin; pos=1054.490, 1.780, 2143.140; angle = 0; size = 0.950
tree: Dream Tree 1_LOD2.bin; pos=963.583, 8.489, 2102.138; angle = 0; size = 1.070
tree: Dream Tree 1_LOD2.bin; pos=962.618, 8.457, 2095.612; angle = 0; size = 0.870
tree: Dream Tree 1_LOD2.bin; pos=1053.180, 4.950, 2139.170; angle = 0; size = 1.170
tree: Dream Tree 1_LOD2.bin; pos=1050.900, 4.950, 2131.220; angle = 0; size = 0.720
tree: Dream Tree 1_LOD2.bin; pos=1048.760, 4.950, 2123.600; angle = 11; size = 0.960
tree: Dream Tree 1_LOD2.bin; pos=1046.490, 4.950, 2115.660; angle = 0; size = 1.080
tree: Dream Tree 1_LOD2.bin; pos=1044.320, 4.950, 2107.490; angle = 0; size = 0.960
tree: Dream Tree 1_LOD2.bin; pos=1042.040, 4.950, 2099.550; angle = 0; size = 0.720
tree: Dream Tree 1_LOD2.bin; pos=1039.900, 4.950, 2091.920; angle = 0; size = 1.230
tree: Dream Tree 1_LOD2.bin; pos=1037.630, 4.950, 2083.980; angle = 30; size = 0.920
tree: Dream Tree 1_LOD2.bin; pos=1036.846, 6.372, 2070.259; angle = 0; size = 1.000
tree: Dream Tree 1_LOD2.bin; pos=1004.740, 7.390, 2168.850; angle = 28; size = 0.620
tree: Dream Tree 1_LOD2.bin; pos=1054.320, 6.430, 2168.870; angle = 0; size = 0.420
tree: Dream Tree 1_LOD2.bin; pos=1029.470, 6.550, 2168.950; angle = 0; size = 0.710
tree: Dream Tree 1_LOD2.bin; pos=1042.280, 7.540, 2168.860; angle = 29; size = 0.740
tree: Dream Tree 1_LOD2.bin; pos=1016.910, 7.540, 2168.860; angle = 0; size = 0.510
tree: Dream Tree 1_LOD2.bin; pos=1046.620, 6.270, 2168.830; angle = 0; size = 0.530
tree: Dream Tree 1_LOD2.bin; pos=1038.110, 6.270, 2168.860; angle = 30; size = 0.700
tree: Dream Tree 1_LOD2.bin; pos=1021.830, 6.270, 2168.790; angle = 29; size = 0.600
tree: Dream Tree 1_LOD2.bin; pos=1012.740, 6.270, 2168.890; angle = 0; size = 0.740
tree: Dream Tree 1_LOD2.bin; pos=1004.910, 7.700, 2151.990; angle = 38; size = 0.470
tree: Dream Tree 1_LOD2.bin; pos=1054.490, 6.260, 2152.010; angle = 25; size = 0.520
tree: Dream Tree 1_LOD2.bin; pos=1029.640, 6.400, 2152.090; angle = 0; size = 0.700
tree: Dream Tree 1_LOD2.bin; pos=1042.450, 7.540, 2152.000; angle = 0; size = 0.450
tree: Dream Tree 1_LOD2.bin; pos=1017.080, 6.550, 2152.000; angle = 38; size = 0.550
tree: Dream Tree 1_LOD2.bin; pos=1046.790, 6.270, 2151.970; angle = 9; size = 0.620
tree: Dream Tree 1_LOD2.bin; pos=1038.290, 6.270, 2152.000; angle = 24; size = 0.470
tree: Dream Tree 1_LOD2.bin; pos=1022.000, 6.270, 2151.930; angle = 0; size = 0.620
tree: Dream Tree 1_LOD2.bin; pos=1011.530, 6.270, 2152.020; angle = 35; size = 0.430
tree: Dream Tree 1_LOD2.bin; pos=993.010, 7.540, 2152.040; angle = 0; size = 0.490
tree: Dream Tree 1_LOD2.bin; pos=1001.000, 6.270, 2152.080; angle = 0; size = 0.650
tree: Dream Tree 1_LOD2.bin; pos=1053.200, 6.100, 2160.370; angle = 0; size = 0.690
tree: Dream Tree 1_LOD2.bin; pos=1044.940, 6.100, 2160.470; angle = 21; size = 0.450
tree: Dream Tree 1_LOD2.bin; pos=1037.020, 6.100, 2160.520; angle = 0; size = 0.640
tree: Dream Tree 1_LOD2.bin; pos=1028.760, 6.100, 2160.620; angle = 0; size = 0.510
tree: Dream Tree 1_LOD2.bin; pos=1018.150, 6.100, 2160.370; angle = 6; size = 0.460
tree: Dream Tree 1_LOD2.bin; pos=1009.890, 6.100, 2160.470; angle = 23; size = 0.570
tree: Dream Tree 1_LOD2.bin; pos=1001.970, 6.100, 2160.520; angle = 20; size = 0.750
tree: Dream Tree 1_LOD2.bin; pos=993.710, 6.100, 2160.610; angle = 43; size = 0.500
tree: Dream Tree 1_LOD2.bin; pos=984.510, 6.100, 2160.560; angle = 20; size = 0.360
tree: Dream Tree 1_LOD2.bin; pos=1054.140, 6.610, 2147.920; angle = 40; size = 0.750
tree: Dream Tree 1_LOD2.bin; pos=1045.880, 6.610, 2147.990; angle = 21; size = 1.070
tree: Dream Tree 1_LOD2.bin; pos=1037.960, 6.610, 2148.020; angle = 0; size = 1.180
tree: Dream Tree 1_LOD2.bin; pos=1029.700, 6.610, 2148.090; angle = 12; size = 1.140
tree: Dream Tree 1_LOD2.bin; pos=1021.250, 6.610, 2148.000; angle = 30; size = 1.130
tree: Dream Tree 1_LOD2.bin; pos=1009.050, 6.610, 2147.990; angle = 0; size = 0.700
tree: Dream Tree 1_LOD2.bin; pos=996.810, 6.610, 2148.170; angle = 0; size = 0.740
tree: Dream Tree 1_LOD2.bin; pos=1199.590, 8.170, 2730.250; angle = 0; size = 0.780
tree: Dream Tree 1_LOD2.bin; pos=1187.640, 7.160, 2730.250; angle = 43; size = 0.750
tree: Dream Tree 1_LOD2.bin; pos=1175.860, 8.420, 2729.790; angle = 0; size = 1.030
tree: Dream Tree 1_LOD2.bin; pos=1164.930, 6.910, 2731.490; angle = 10; size = 0.960
